ST,Account **CARRIER**,Carrier Comp Type OTG PDNG OTG ADD OTG - Zayo = zMAP NEW = On comp statement PDNG in Monday,Carrier Relationship,Service Provider,Status / Type,"Opportunity ""Promo Year"" **KEEP ORIGINAL OPP**",Promo Year Revenue / OG SF Opp zMAP = anything new to OTG **KEEP ORIGINAL OPP**,Install Date OR OTG payable Date,OTG Comp Billing item,Cust. ACTIVE BAN,Historic BAN - non-ZNS,Item Desc. from current Carrier Statement,PAYING Monthly Comp % to OTG from current Carrier Statement,Quantity,Price,"Monthly Unit Price Quantity x Price QRC/SEMI//YRC x 4, 6, or 12",EXPECTED/Mo. OTG Comp % - column R Comp Key,Monthly Comp to OTG per EXPECTED Comp %,One-Time Unit Price / SPIFF,One-Time Comp % to OTG,One-Time Comp Expected to OTG,Cust. Billed Type,COMP 1,COMP 2,COMP 3,COMP 4,before 07/2025 COMP 1,before 07/2025 COMP 2,before 07/2025 COMP 3,before 07/2025 COMP 4,NOTES RED Highlight = Differs from before comp key,MISSING OTG COMP,SVC Change Date,Prev. Unit Price,OTG Compensable Product NAME,MISSING MONDAY,Sig Date,Term,Location Name,Service Address,Order #,Circuit ID,Unique Order Details SOC / SC,TED,Renewal Details,Monday Product Comments - EXCLUDE SPLIT NOTES/VALUES,Monday Item ID,COMP CALC Mo. OTG RCVD Funds>>,OTG PD since July Seller Statemen June Deposit,July Seller Statement - June Deposit,Aug Seller Stmt - July Deposit,Sept Seller Stmt - Aug Deposit,Oct Seller Stmt - Sept Deposit,Nov Seller Stmt - Oct Deposit,Dec Seller Stmt - Nov Deposit,Jan Seller Stmt - Dec Deposit,Feb Seller Stmt - Jan Deposit,Mar Seller Stmt - Feb Deposit,Apr Seller Stmt - Mar Deposit,May Seller Stmt - Apr Deposit,June Seller Stmt - May Deposit
NV,(OSIT),OTG,Direct,Zayo,Active,2025,,5/13/25,757355,41890,41890,Dark Fiber,,1.00,$150.00,$150.00,15.00%,$22.50,$0.00,0.00%,$0.00,MRC,RD1,,OVR,OTG.0-ZF,NOT ON OG COMP KEY,,OVR,,01/08/26 VP: TBD if update split OTG.0-ZF; 08/18/25 VP: MRC PDNG;  One-Time PMT,,,,,,6/11/24,60,500 E Warm Springs Rd/Fl-1/Rm-Server,1 Harrahs Ct/Fl-2/Rm-255,2375486,"F24M-0240851, FBDK/2375486//ZFS",SC-753667,5/12/30,,,,,,,$459.68,$285.00,$285.00,$285.00,$285.00,$285.00,,,,,
NV,(OSIT),OTG,Direct,Zayo,Active,2025,,5/13/25,757355,41890,41890,Dark Fiber,,1.00,$150.00,$150.00,15.00%,$22.50,$0.00,0.00%,$0.00,MRC,RD1,,OVR,OTG.0-ZF,NOT ON OG COMP KEY,,OVR,,01/08/26 VP: TBD if update split OTG.0-ZF; 08/18/25 VP: MRC PDNG;  One-Time PMT,,,,,,6/11/24,60,1 Harrahs Ct/Fl-2/Rm-255,500 E Warm Springs Rd/Fl-1/Rm-Server,2375486,"F24M-0240852, FBDK/2375486//ZFS",SC-786302,5/12/30,,,,,,,,,,,,,,,,,
NV,(OSIT),OTG,Direct,Zayo,Active,2025,,5/13/25,757355,41890,41890,Dark Fiber,,1.00,$100.00,$100.00,15.00%,$15.00,$0.00,0.00%,$0.00,MRC,RD1,,OVR,OTG.0-ZF,NOT ON OG COMP KEY,,OVR,,01/08/26 VP: TBD if update split OTG.0-ZF; 08/18/25 VP: MRC PDNG;  One-Time PMT,,,,,,6/11/24,60,7160 Bermuda Rd/Fl-2/Rm-Data-2A,1 Harrahs Ct/Fl-2/Rm-255,2375486,"F24M-0240853, FBDK/2375486//ZFS",SC-786303,5/12/30,,,,,,,,,,,,,,,,,
NV,(OSIT),OTG,Direct,Zayo,Active,2025,,5/13/25,757355,41890,41890,Dark Fiber,,1.00,$100.00,$100.00,15.00%,$15.00,$0.00,0.00%,$0.00,MRC,RD1,,OVR,OTG.0-ZF,NOT ON OG COMP KEY,,OVR,,01/08/26 VP: TBD if update split OTG.0-ZF; 08/18/25 VP: MRC PDNG;  One-Time PMT,,,,,,6/11/24,60,490 E Capovilla Ave/Fl-2/Rm-MPOE,1 Harrahs Ct/Fl-2/Rm-255,2375486,"F24M-0240854, FBDK/2375486//ZFS",SC-786304,5/12/30,,,,,,,,,,,,,,,,,
NV,(OSIT),OTG,Direct,Zayo,Active,2025,,5/13/25,757355,41890,41890,Dark Fiber,,1.00,$100.00,$100.00,15.00%,$15.00,$0.00,0.00%,$0.00,MRC,RD1,,OVR,OTG.0-ZF,NOT ON OG COMP KEY,,OVR,,01/08/26 VP: TBD if update split OTG.0-ZF; 08/18/25 VP: MRC PDNG;  One-Time PMT,,,,,,6/11/24,60,500 Amigo Ct/Fl-1/Rm-MPOE,1 Harrahs Ct/Fl-2/Rm-255,2375486,"F24M-0240855, FBDK/2375486//ZFS",SC-786305,5/12/30,,,,,,,,,,,,,,,,,
NV,(OSIT),OTG,Direct,Zayo,Active,2025,,5/13/25,757355,41890,41890,Dark Fiber,,1.00,$100.00,$100.00,15.00%,$15.00,$0.00,0.00%,$0.00,MRC,RD1,,OVR,OTG.0-ZF,NOT ON OG COMP KEY,,OVR,,01/08/26 VP: TBD if update split OTG.0-ZF; 08/18/25 VP: MRC PDNG;  One-Time PMT,,,,,,6/11/24,60,7115 Amigo St/Fl-1/Rm-MPOE,1 Harrahs Ct/Fl-2/Rm-255,2375486,"F24M-0240856, FBDK/2375486//ZFS",SC-786306,5/12/30,,,,,,,,,,,,,,,,,
NV,(OSIT),OTG,Direct,Zayo,Active,2025,,5/13/25,757355,41890,41890,Dark Fiber,,1.00,$100.00,$100.00,15.00%,$15.00,$0.00,0.00%,$0.00,MRC,RD1,,OVR,OTG.0-ZF,NOT ON OG COMP KEY,,OVR,,01/08/26 VP: TBD if update split OTG.0-ZF; 08/18/25 VP: MRC PDNG;  One-Time PMT,,,,,,6/11/24,60,650 White Dr/Fl-1/Rm-MPOE,1 Harrahs Ct/Fl-2/Rm-255,2375486,"F24M-0240857, FBDK/2375486//ZFS",SC-786307,5/12/30,,,,,,,,,,,,,,,,,
NV,(OSIT),OTG,Direct,Zayo,Active,2025,,5/13/25,757355,41890,41890,Dark Fiber,,1.00,$100.00,$100.00,15.00%,$15.00,$0.00,0.00%,$0.00,MRC,RD1,,OVR,OTG.0-ZF,NOT ON OG COMP KEY,,OVR,,01/08/26 VP: TBD if update split OTG.0-ZF; 08/18/25 VP: MRC PDNG;  One-Time PMT,,,,,,6/11/24,60,505 E Capovilla Ave/Fl-1/Ste-103/Rm-MPOE,500 E Warm Springs Rd/Fl-1/Rm-Server,2375486,"F24M-0240858, FBDK/2375486//ZFS",SC-786308,5/12/30,,,,,,,,,,,,,,,,,
NV,(OSIT),OTG,Direct,Zayo,Active,2025,,5/13/25,757355,41890,41890,Dark Fiber,,1.00,$100.00,$100.00,15.00%,$15.00,$0.00,0.00%,$0.00,MRC,RD1,,OVR,OTG.0-ZF,NOT ON OG COMP KEY,,OVR,,01/08/26 VP: TBD if update split OTG.0-ZF; 08/18/25 VP: MRC PDNG;  One-Time PMT,,,,,,6/11/24,60,475 Capovilla Ave/Fl-1/Ste-100/Rm-Computer/Cage-100,1 Harrahs Ct/Fl-2/Rm-255,2375486,"F24M-0240859, FBDK/2375486//ZFS",SC-786309,5/12/30,,,,,,,,,,,,,,,,,
NV,(OSIT),OTG,Direct,Zayo,Active,2025,,5/13/25,757355,41890,41890,Dark Fiber,,1.00,$100.00,$100.00,15.00%,$15.00,$0.00,0.00%,$0.00,MRC,RD1,,OVR,OTG.0-ZF,NOT ON OG COMP KEY,,OVR,,01/08/26 VP: TBD if update split OTG.0-ZF; 08/18/25 VP: MRC PDNG;  One-Time PMT,,,,,,6/11/24,60,7220 Bermuda Rd/Fl-1/Rm-MPOE,1 Harrahs Ct/Fl-2/Rm-255,2375486,"F24M-0240860, FBDK/2375486//ZFS",SC-786310,5/12/30,,,,,,,,,,,,,,,,,
NV,(OSIT),OTG,Direct,Zayo,Active,2025,,5/13/25,757355,41890,41890,Dark Fiber,,1.00,$100.00,$100.00,15.00%,$15.00,$0.00,0.00%,$0.00,MRC,RD1,,OVR,OTG.0-ZF,NOT ON OG COMP KEY,,OVR,,01/08/26 VP: TBD if update split OTG.0-ZF; 08/18/25 VP: MRC PDNG;  One-Time PMT,,,,,,6/11/24,60,444 E Warm Springs Rd/Fl-1/Rm-MPOE,1 Harrahs Ct/Fl-2/Rm-255,2375486,"F24M-0240861, FBDK/2375486//ZFS",SC-786311,5/12/30,,,,,,,,,,,,,,,,,
NV,(OSIT),OTG,Direct,Zayo,Active,2025,,5/13/25,757355,41890,41890,Dark Fiber,,1.00,$100.00,$100.00,15.00%,$15.00,$0.00,0.00%,$0.00,MRC,RD1,,OVR,OTG.0-ZF,NOT ON OG COMP KEY,,OVR,,01/08/26 VP: TBD if update split OTG.0-ZF; 08/18/25 VP: MRC PDNG;  One-Time PMT,,,,,,6/11/24,60,7251 Amigo St/Fl-1/Rm-MPOE,500 E Warm Springs Rd/Fl-1/Rm-Server,2375486,"F24M-0240862, FBDK/2375486//ZFS",SC-786312,5/12/30,,,,,,,,,,,,,,,,,
NV,(OSIT),OTG,Direct,Zayo,Active,2025,,5/13/25,757355,41890,41890,Dark Fiber,,1.00,$100.00,$100.00,15.00%,$15.00,$0.00,0.00%,$0.00,MRC,RD1,,OVR,OTG.0-ZF,NOT ON OG COMP KEY,,OVR,,01/08/26 VP: TBD if update split OTG.0-ZF; 08/18/25 VP: MRC PDNG;  One-Time PMT,,,,,,6/11/24,60,7230 Amigo St/Fl-1/Rm-177-MPOE,500 E Warm Springs Rd/Fl-1/Rm-Server,2375486,"F24M-0240863, FBDK/2375486//ZFS",SC-786313,5/12/30,,,,,,,,,,,,,,,,,
NV,(OSIT),OTG,Direct,Zayo,Active,2025,,5/13/25,757355,41890,41890,Dark Fiber,,1.00,$100.00,$100.00,15.00%,$15.00,$0.00,0.00%,$0.00,MRC,RD1,,OVR,OTG.0-ZF,NOT ON OG COMP KEY,,OVR,,01/08/26 VP: TBD if update split OTG.0-ZF; 08/18/25 VP: MRC PDNG;  One-Time PMT,,,,,,6/11/24,60,700 E Warm Springs Rd/Fl-3/Ste-338/Rm-Server,500 E Warm Springs Rd/Fl-1/Rm-Server,2375486,"F24M-0240864, FBDK/2375486//ZFS",SC-786314,5/12/30,,,,,,,,,,,,,,,,,
NV,(OSIT),OTG,Direct,Zayo,Active,2025,,5/13/25,757355,41890,41890,Dark Fiber,,1.00,$100.00,$100.00,15.00%,$15.00,$0.00,0.00%,$0.00,MRC,RD1,,OVR,OTG.0-ZF,NOT ON OG COMP KEY,,OVR,,01/08/26 VP: TBD if update split OTG.0-ZF; 08/18/25 VP: MRC PDNG;  One-Time PMT,,,,,,6/11/24,60,7180 Pollock Dr/Fl-1/Rm-MPOE,500 E Warm Springs Rd/Fl-1/Rm-Server,2375486,"F24M-0240865, FBDK/2375486//ZFS",SC-786315,5/12/30,,,,,,,,,,,,,,,,,
NV,(OSIT),OTG,Direct,Zayo,Active,2025,,5/13/25,757355,41890,41890,Dark Fiber,,1.00,$100.00,$100.00,15.00%,$15.00,$0.00,0.00%,$0.00,MRC,RD1,,OVR,OTG.0-ZF,NOT ON OG COMP KEY,,OVR,,01/08/26 VP: TBD if update split OTG.0-ZF; 08/18/25 VP: MRC PDNG;  One-Time PMT,,,,,,6/11/24,60,7150 Pollock Dr/Fl-1/Rm-MPOE,500 E Warm Springs Rd/Fl-1/Rm-Server,2375486,"F24M-0240866, FBDK/2375486//ZFS",SC-786316,5/12/30,,,,,,,,,,,,,,,,,
NV,(OSIT),OTG,Direct,Zayo,Active,2025,,5/13/25,757355,41890,41890,Dark Fiber,,1.00,$100.00,$100.00,15.00%,$15.00,$0.00,0.00%,$0.00,MRC,RD1,,OVR,OTG.0-ZF,NOT ON OG COMP KEY,,OVR,,01/08/26 VP: TBD if update split OTG.0-ZF; 08/18/25 VP: MRC PDNG;  One-Time PMT,,,,,,6/11/24,60,7090 Pollock Dr/Fl-1/Rm-MPOE,500 E Warm Springs Rd/Fl-1/Rm-Server,2375486,"F24M-0240867, FBDK/2375486//ZFS",SC-786317,5/12/30,,,,,,,,,,,,,,,,,
NV,(OSIT),OTG,Direct,Zayo,Active,2025,,5/13/25,757355,41890,41890,Dark Fiber,,1.00,$100.00,$100.00,15.00%,$15.00,$0.00,0.00%,$0.00,MRC,RD1,,OVR,OTG.0-ZF,NOT ON OG COMP KEY,,OVR,,01/08/26 VP: TBD if update split OTG.0-ZF; 08/18/25 VP: MRC PDNG;  One-Time PMT,,,,,,6/11/24,60,7120 Amigo St/Fl-1/Rm-133,500 E Warm Springs Rd/Fl-1/Rm-Server,2375486,"F24M-0240868, FBDK/2375486//ZFS",SC-786318,5/12/30,,,,,,,,,,,,,,,,,
MN,01 KINDERBERRY HILL INC.,zMAP,Direct - zMAP,Zayo - Allstream,Active,2026,zMAP,9/1/25,712369,712369,N/A,zMapOneTelHoldings,3.00%,1.00,$30.00,$30.00,3.00%,$0.90,$0.00,0.00%,$0.00,MRC,RD4,,OVR,OTG.0-ZF,NOT ON OG COMP KEY,,OVR,,01/08/26 VP: TBD if update split OTG.0-ZF,,,,,MISSING MONDAY,,,,TBD,TBD,,,,,,,,,,,,,$0.90,$0.90,$0.90,,,,,
DC,AAMC AWS Initiative-ZNS,zMAP,Direct - zMAP,Zayo,Active,2025,zMAP,6/1/25,557364,45787,,Ethernet Port Charge,,1.00,$550.00,$550.00,3.00%,$16.50,$0.00,0.00%,$0.00,MRC,RD4,,OVR,,,,OVR,,,,,,,,,12,,"1133 21st St NW Washington, DC 20036
655 K St NW Washington, DC 20001",2420218,EVYX/267427//ZYO,SC-495528,9/29/26,,,,,,,$33.00,$33.00,$33.00,$33.00,$33.00,$33.00,,,,,
DC,AAMC AWS Initiative-ZNS,zMAP,Direct - zMAP,Zayo,Active,2025,zMAP,6/1/25,557364,45787,,Ethernet Port Charge,,1.00,$550.00,$550.00,3.00%,$16.50,$0.00,0.00%,$0.00,MRC,RD4,,OVR,,,,OVR,,,,,,,,,12,,"21715 Filigree Ct Ashburn, DC 20147
21715 Filigree Ct Ashburn, DC 20147",2420218,EVYX/267427//ZYO,SC-495530,9/29/26,,,,,,,,,,,,,,,,,
TN,AARP IT Dept.,OTG,Direct,Zayo,Other,2024,Zayo Pass-Through April 2024,4/1/24,723576,32555,,Ethernet Port Charge,,1.00,"$1,450.00","$1,450.00",15.00%,$217.50,$0.00,0.00%,$0.00,MRC,HA5,,OVR,,HA5,,,,09/02/25 VP: Keep HA5 as it was noted to be applied to MDF Funds,,,,,,,,,,,,,,,,,,,,$435.00,$435.00,$435.00,$435.00,$435.00,$435.00,,,,,
TN,AARP IT Dept.,OTG,Direct,Zayo,Other,2024,Zayo Pass-Through April 2024,4/1/24,723576,32555,,Ethernet Port Charge,,1.00,"$1,450.00","$1,450.00",15.00%,$217.50,$0.00,0.00%,$0.00,MRC,HA5,,OVR,,HA5,,,,09/02/25 VP: Keep HA5 as it was noted to be applied to MDF Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,ABC USD,OTG,Direct,GoTo,Active,2020,CA - ABC USD 2020,3/9/20,CN-589281-1409,CN-589281-1409,,GoToConnect,,42.00,$12.59,$528.78,27.00%,$142.77,$0.00,0.00%,$0.00,MRC,RD1,,OVR,,RD1,,OVR,,,,,,,,,,,,,,,,,,,,,,$175.27,$168.84,$185.83,$195.21,$190.22,$190.22,,,,,
CA,ABC USD,OTG,Direct,GoTo,Active,2020,CA - ABC USD 2020,3/9/20,CN-589281-1409,CN-589281-1409,,GoTo Contact,,8.00,$10.95,$87.60,27.00%,$23.65,$0.00,0.00%,$0.00,MRC,RD1,,OVR,,RD1,,OVR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,Abernathy ISD,OTG PDNG,Direct,Zayo - ENA,Active,2025,ENA,,41126,41126,,ENA SmartVoice,,1.00,$436.50,$436.50,22.00%,$96.03,$0.00,0.00%,$0.00,MRC,RD3,,OVR,,,,,,"09/23/25 VP: NOT on Lani 08/15 Export, pulled pricing/comp from ENA Master Sheet",,,,,,,,,"505 7th St. Abernathy, TX 79311",,,MISSING,,,,,,,,,,,,,,,,,,
TX,Academy Independent School District,OTG PDNG,Direct,Zayo - ENA,Active,,ENA,,59937,59937,,ENA SmartVoice,,1.00,"$1,213.00","$1,213.00",22.00%,$266.86,$0.00,0.00%,$0.00,MRC,RD4,,OVR,,,,,,09/23/25 VP: ON Lani 08/15 Export - MRC no match,,,,,,,,,,,,SD-017669,,,,,,,,,,,,$135.70,$45.56,,,,,
TX,Academy Independent School District,zMAP,Direct - zMAP,Zayo - ENA,Active,2026,zMAP,,59937,59937,,TBD,,1.00,$0.00,$0.00,3.00%,$0.00,$0.00,0.00%,$0.00,MRC,RD4,,OVR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,Academy School District 20-ZNS,OTG,Direct,Zayo,Active,2021,CO - Academy School District 20 2021,7/1/21,400051,44889,,Interface Port Charge,,1.00,"$2,800.00","$2,800.00",14.00%,$392.00,$0.00,0.00%,$0.00,MRC,HA1,,OVR,,HA1,,OVR,,,,,,,,,,,,,,,,,,,,,,$392.00,$392.00,$392.00,$392.00,$392.00,$392.00,,,,,
NM,Ace Leadership,OTG,Direct,Lumen,Active,2014,NM - ACE/ Health Leadership High School E17,1/6/15,334085122,334085122,,Lumen-Voice,,1.00,$55.25,$55.25,17.00%,$9.39,$0.00,0.00%,$0.00,MRC,RD1,,OVR,,RD1,,OVR,,,,,,,,,,,,,,,,,,,,,,$23.62,$23.62,$23.62,$23.62,$23.62,$23.62,,,,,
CO,Adams 12 Five Star School District-ZNS,OTG,Direct,Zayo,Active,2017,CO - Adams 12 Five Star Schools ERY2017,7/3/18,434117,45062,,Interface Port Charge,,1.00,"$2,250.00","$2,250.00",14.00%,$315.00,$0.00,0.00%,$0.00,MRC,RD4,,OVR,,HA1,,OVR,,,,6/30/25,"$2,743.00",,,3/21/25,12,Admin Office,"1500 E 128th Ave Thornton, CO, 80241","2484741, 2390852, 2049562, 2047668, 1130900",IPYX/152741/001/ZYO,SC-316301,6/29/26,30 days	1M Auto,,,,,,$384.02,$315.00,$315.00,$315.00,$315.00,$315.00,,,,,
CO,Adams 12 Five Star School District-ZNS,OTG,Direct,Zayo,Active,2017,CO - Adams 12 Five Star Schools 2021,11/27/18,576097,45062,,DDoS Protection Service,,1.00,"$1,440.00","$1,440.00",16.00%,$230.40,$0.00,0.00%,$0.00,MRC,RD4,,OVR,,HA1,,OVR,,,,6/30/25,"$2,475.00",,,3/21/25,12,Admin Office,"1500 E 128th Ave Thornton, CO, 80241","2483851, 2049563, 1812118, 1723565, 1399076",DDOS/152741/002/ZYO,SC-528025,6/29/26,30 days	1M Auto,,,,,,$396.00,$230.40,$230.40,$230.40,$230.40,$230.40,,,,,
CO,Adams 12 Five Star School District-ZNS,OTG,Direct,Zayo,Active,2024,Adams 12 Five Star Schools 2024,4/23/24,743319,45062,,Interface Port Charge,,1.00,"$2,250.00","$2,250.00",14.00%,$315.00,$0.00,0.00%,$0.00,MRC,HA1,,OVR,,HA1,,OVR,,,"$14,230.44",6/30/25,"$5,647.00",,,3/31/25,12,"Huron Office Building ""SDC""?","10280 Huron St Denver, CO 80260","2484740, 2303477",IDIA/386625//ZYO,SC-726860,6/29/26,30 days	1M Auto,,,,,,$790.58,$315.00,$315.00,$315.00,$315.00,$315.00,,,,,
CO,Adams County,OTG,Direct,Zayo,Active,2020,CO - Adams County 2020,10/14/20,426497,45010,,Interface Port Charge,,1.00,"$1,440.00","$1,440.00",15.00%,$216.00,$0.00,0.00%,$0.00,MRC,HA1,,OVR,,HA1,,OVR,,,,,,,,,,,,,,,,,,,,,,$216.00,$432.00,$216.00,$216.00,$216.00,$216.00,,,,,
CO,Adams County School District 14,OTG,Direct,Zayo,Active,2019,CO - Adams County SD 14 FY2019,2/26/19,307289,44520,,Interface Port Charge,,1.00,"$1,350.00","$1,350.00",15.00%,$202.50,$0.00,0.00%,$0.00,MRC,HA1,,OVR,,HA1,,OVR,,,,,,,,,,,,,,,,,,,,,,$202.50,$202.50,$202.50,$405.00,$202.50,$202.50,,,,,
CO,Adams County-ZNS,OTG,Direct,Zayo,Active,2021,CO - Adams County 2021,10/21/21,579669,46781,,DDoS Protection Service,,1.00,"$1,235.00","$1,235.00",14.00%,$172.90,$0.00,0.00%,$0.00,MRC,HA1,,OVR,,HA1,,OVR,,,,,,,,,,,,,,SC-533677,,,,,,,,$183.40,$183.40,$183.40,$183.40,$183.40,$183.40,,,,,
CO,Adams County-ZNS,OTG,Direct,Zayo,Active,2021,CO - Adams County 2021,10/21/21,579669,46781,,DDoS Mitigation,,1.00,$75.00,$75.00,14.00%,$10.50,$0.00,0.00%,$0.00,MRC,HA1,,OVR,,HA1,,OVR,,,,,,,,,,,,,,SC-533677,,,,,,,,,,,,,,,,,,
VT,Addison Northwest School District,zMAP,Direct - zMAP,Zayo - ENA,Active,2026,zMAP,,15313,15313,,TBD,,1.00,$0.00,$0.00,3.00%,$0.00,$0.00,0.00%,$0.00,MRC,RD4,,OVR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$75.03,$75.70,,,,,
CA,ADVANCED TRAINING INSTITUTE,zMAP,Direct - zMAP,Zayo - Allstream,Active,2026,zMAP,9/1/25,1247532,1247532,N/A,zMapOneTelHoldings,3.00%,1.00,$769.00,$769.00,3.00%,$23.07,$0.00,0.00%,$0.00,MRC,RD2,,OVR,,,,,,10/29/25 VP: On 1st Carrier Statement; DC CONF on Zoom,,,,,MISSING MONDAY,,,,TBD,TBD,,,,,,,,,,,,,$23.07,$23.07,$23.07,,,,,
AZ,Agua Fria Union High School District MRC,OTG,Direct,Zayo,Active,2020,AZ - Agua Fria UHSD 2020,8/1/20,570042,31875,31875,Interface Port Charge,,1.00,"$1,674.50","$1,674.50",15.00%,$251.18,$0.00,0.00%,$0.00,MRC,RD1,,OVR,,RD1,,OVR,,,,7/1/25,"$1,083.33",,,1/29/25,36,DISTRICT OFFICE,"1481 N Eliseo C Felix Jr Way Avondale, AZ, 85323","2460618, 1626270", IDIA/274146/901/ZYO,SC-521104,6/29/28,30 days	1M Auto,,,,,,$487.50,"$1,578.35",$538.35,$538.35,$538.35,$538.35,,,,,
AZ,Agua Fria Union High School District MRC,OTG,Direct,Zayo,Active,2020,AZ - Agua Fria UHSD 2020,8/1/20,570042,31875,31875,Connected IPv4 Address - IPv4/26,,1.00,$240.00,$240.00,15.00%,$36.00,$0.00,0.00%,$0.00,MRC,RD1,,OVR,,RD1,,OVR,,,,7/1/25,"$1,083.33",,,1/29/25,36,DISTRICT OFFICE,"1481 N Eliseo C Felix Jr Way Avondale, AZ, 85323","2460618, 1626270", IDIA/274146/902/ZYO,SC-521105,6/29/28,30 days	1M Auto,,,,,,,,,,,,,,,,
AZ,Agua Fria Union High School District MRC,OTG,Direct,Zayo,Active,2020,AZ - Agua Fria UHSD 2020,8/1/20,570042,31875,31875,Interface Port Charge,,1.00,"$1,674.50","$1,674.50",15.00%,$251.18,$0.00,0.00%,$0.00,MRC,RD1,,OVR,,RD1,,OVR,,,,7/1/25,"$1,083.33",,,1/29/25,36,DISTRICT OFFICE,"1481 N Eliseo C Felix Jr Way Avondale, AZ, 85323","2460618, 1626270", IDIA/274146/903/ZYO,SC-521106,6/29/28,30 days	1M Auto,,,,,,,,,,,,,,,,
AZ,Agua Fria Union High School District MRC,OTG,Direct,Zayo,Active,2025,AZ - Agua Fria UHSD 2025,7/1/25,772191,31875,31875,Dark Fiber,,1.00,$225.00,$225.00,15.00%,$33.75,$0.00,0.00%,$0.00,MRC,RD1,,OVR,,RD1,,OVR,,,,,,,,12/6/24,60,"Agua Fria UHSD Admin 
Goodyear High School","1481 N. Eliseo C Felix Jr. Way Avondale, AZ 85323
17300 W. Van Buren St. Goodyear, AZ 85338",2448973,F24M-0251578,SC-792041,6/29/30,30 days	1M Auto,,,,,,,$33.75,$33.75,$33.75,$33.75,$33.75,,,,,
CO,Akron School District R 1,OTG PDNG,Direct,Zayo - ENA,Active,,ENA,,40792,40792,,ENA Internet Access,,1.00,$800.00,$800.00,15.00%,$120.00,$0.00,0.00%,$0.00,MRC,RD4,,OVR,,,,,,,,,,,,,,,,,,SD-018889,,,,,,,,,,,,$32.42,$24.91,,,,,
CO,Akron School District R 1,zMAP,Direct - zMAP,Zayo - ENA,Active,2026,zMAP,,40792,40792,,TBD,,1.00,$830.17,$830.17,3.00%,$24.91,$0.00,0.00%,$0.00,MRC,RD4,,OVR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,Alamance-Burlington School District,zMAP,Direct - zMAP,Zayo - ENA,Active,2026,zMAP,,30276,30276,,TBD,,1.00,$404.25,$404.25,3.00%,$12.13,$0.00,0.00%,$0.00,MRC,RD4,,OVR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,246.72",$386.78,,,,,
MS,Alcorn School District,zMAP,Direct - zMAP,Zayo - ENA,Active,2026,zMAP,,37029,37029,,TBD,,1.00,"$5,225.00","$5,225.00",3.00%,$156.75,$0.00,0.00%,$0.00,MRC,RD4,,OVR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$128.55,$168.25,,,,,
IN,Alexandria Community School Corporation,zMAP,Direct - zMAP,Zayo - ENA,Active,2026,zMAP,,5055,5055,,TBD,,1.00,"$1,500.00","$1,500.00",3.00%,$45.00,$0.00,0.00%,$0.00,MRC,RD2,,OVR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$27.00,$45.00,,,,,
IN,Allen County Ed. Network Consortium,OTG,Direct,Zayo,Active,2019,IN - Allen County Education Network Consortium FY2019,10/31/24,523550,45506,,Interface Port Charge,,1.00,"$1,507.00","$1,507.00",16.00%,$241.12,$0.00,0.00%,$0.00,MRC,RM2,RD2,OVR,,RM2,RD2,OVR,,,,,,,,5/29/25,60,Grile Technology Center (Fort Wayne ),"1200 S Clinton St, Fort Wayne, IN 46802","SN 523550, 2471727",IDIA/242783//ZYO,"SC-453868, SC-753766",10/30/29,"10/7/2025 JY: BED 9/18/2025, OLD MRC 3014.00, NEW MRC 3200.00, OLD BAN 29623, NEW BAN 45506.",,,,,,$482.24,$482.24,$482.24,$964.48,$524.90,$512.00,,,,,
IN,Allen County Ed. Network Consortium,OTG,Direct,Zayo,Active,2019,IN - Allen County Education Network Consortium FY2019,10/31/24,523550,45506,,Interface Port Charge,,1.00,"$1,507.00","$1,507.00",16.00%,$241.12,$0.00,0.00%,$0.00,MRC,RM2,RD2,OVR,,RM2,RD2,OVR,,,,,,,,5/29/25,60,Grile Technology Center (Fort Wayne ),"1200 S Clinton St, Fort Wayne, IN 46802","SN 523550, 2471727",IDIA/242783//ZYO,"SC-453868, SC-753766",10/30/29,"10/7/2025 JY: BED 9/18/2025, OLD MRC 3014.00, NEW MRC 3200.00, OLD BAN 29623, NEW BAN 45506.",,,,,,,,,,,,,,,,
IN,Allen County Ed. Network Consortium,OTG,Direct,Zayo,Active,2019,IN - Allen County Education Network Consortium FY2019,6/30/19,525170,45506,,Ethernet Port Charge,,1.00,"$2,376.00","$2,376.00",15.00%,$356.40,$0.00,0.00%,$0.00,MRC,RM2,RD2,OVR,,RM2,RD2,OVR,,,,,,,,,,,,,,SC-456170,,,,,,,,"$1,425.60","$1,425.60","$1,425.60","$2,851.20","$1,425.60","$1,425.60",,,,,
